Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage
5.7969970703125,1,2.0,13841.6611570248,19.0,685.0,20664.0,57.0,476.0,2.0,1.0,581.0,0.0,0.0,-833.0,6570.0,24.0,-833.0,30782.0,31.0
5.89399719238281,1,2.0,13841.6611570248,19.0,685.0,20664.0,57.0,476.0,2.0,1.0,581.0,0.0,0.0,-833.0,6570.0,24.0,-833.0,30782.0,31.0
5.89399719238281,1,2.0,13841.6611570248,19.0,685.0,20664.0,57.0,476.0,2.0,1.0,581.0,0.0,0.0,-833.0,6570.0,24.0,-833.0,30782.0,31.0
5.98300170898438,1,61.0,31377.6611570248,57.0,764.0,22230.0,57.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,4048.0,24.0,-833.0,30162.0,31.0
6.02799987792969,1,61.0,31377.6611570248,57.0,764.0,22230.0,57.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,4048.0,24.0,-833.0,30162.0,31.0
6.14399719238281,1,61.0,31377.6611570248,57.0,764.0,22230.0,57.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,4048.0,24.0,-833.0,30162.0,31.0
6.16600036621094,1,61.0,31377.6611570248,57.0,764.0,22230.0,57.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,4048.0,24.0,-833.0,30162.0,31.0
6.27099609375,1,135.0,30941.6611570248,55.0,838.0,21448.0,56.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7116.0,26.0,-833.0,24971.0,29.0
6.31700134277344,1,135.0,30941.6611570248,55.0,838.0,21448.0,56.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7116.0,26.0,-833.0,24971.0,29.0
6.37200164794922,1,135.0,30941.6611570248,55.0,838.0,21448.0,56.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7116.0,26.0,-833.0,24971.0,29.0
6.41699981689453,1,215.0,34817.6611570248,57.0,876.0,244.0,2.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7428.0,26.0,-833.0,22071.0,29.0
6.51999664306641,1,215.0,34817.6611570248,57.0,876.0,244.0,2.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7428.0,26.0,-833.0,22071.0,29.0
6.572998046875,1,215.0,34817.6611570248,57.0,876.0,244.0,2.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7428.0,26.0,-833.0,22071.0,29.0
6.625,1,215.0,34817.6611570248,57.0,876.0,244.0,2.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7428.0,26.0,-833.0,22071.0,29.0
6.68000030517578,1,294.0,33027.6611570248,56.0,877.0,113.0,2.0,476.0,0.0,0.0,581.0,0.0,0.0,-833.0,7714.0,24.0,-833.0,13591.0,27.0
