Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage
4.01100158691406,1,1.0,8965.37190082645,17.0,700.0,16958.0,97.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,11744.0,26.0,-833.0,23492.0,29.0
4.11199951171875,1,1.0,8965.37190082645,17.0,700.0,16958.0,97.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,11744.0,26.0,-833.0,23492.0,29.0
4.15999603271484,1,1.0,8965.37190082645,17.0,700.0,16958.0,97.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,11744.0,26.0,-833.0,23492.0,29.0
4.21499633789063,1,48.0,25136.3719008264,51.0,832.0,15078.0,95.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,10626.0,26.0,-833.0,23202.0,31.0
4.25899505615234,1,48.0,25136.3719008264,51.0,832.0,15078.0,95.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,10626.0,26.0,-833.0,23202.0,31.0
4.36199951171875,1,48.0,25136.3719008264,51.0,832.0,15078.0,95.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,10626.0,26.0,-833.0,23202.0,31.0
4.40599822998047,1,117.0,29735.3719008264,55.0,924.0,6183.0,27.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,9222.0,26.0,-833.0,16102.0,27.0
4.44100189208984,1,117.0,29735.3719008264,55.0,924.0,6183.0,27.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,9222.0,26.0,-833.0,16102.0,27.0
4.51000213623047,1,117.0,29735.3719008264,55.0,924.0,6183.0,27.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,9222.0,26.0,-833.0,16102.0,27.0
4.61299896240234,1,187.0,28724.3719008264,52.0,931.0,234.0,2.0,781.0,0.0,0.0,565.0,0.0,0.0,-833.0,4912.0,26.0,-833.0,10574.0,27.0
